"","text","name","handle"
"1","Catching up with the new episode of #KeepingUpWithTheKardashians and I got to say I think it's great @kanyewest  di… https://t.co/TGCQW5Ei31","Kanye West","@KanyeWest"
"2","RT @sdpilgrim: PLEASE RETWEET:

At exactly 4PM BST / 1PM EST / 10AM PT tomorrow (03 APRIL)

we all need to tweet simply ‘@kanyewest’. We ne…","Kanye West","@KanyeWest"
"3","RT @SneakerSickness: Been a while since I rocked the @adidasoriginals x @kanyewest #YEEZYboost350v2 #bred @SneakerAdmirals @wex1200 #yoursn…","Kanye West","@KanyeWest"
"4","RT @yourbiebernews: Fashion: @kanyewest Wyoming Cap in Black that's not available. https://t.co/zpBK8UOP9I","Kanye West","@KanyeWest"
"5","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"6","RT @_madalenabreezy: @chartdata @kanyewest @chrisbrown @KidCudi A bop is a bop","Kanye West","@KanyeWest"
"7","@kanyewest dad? Where u at?","Kanye West","@KanyeWest"
"8","RT @CBM1LGr4U: @chartdata @kanyewest @chrisbrown @KidCudi Chris Brown was the best in the song","Kanye West","@KanyeWest"
"9","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"10","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"11","I mean .. I have no hate in my heart for no one.. well rewind @realDonaldTrump &amp; @kanyewest shoot both mf","Kanye West","@KanyeWest"
"12","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"13","Why Nippy Hustle why not @kanyewest . Damn This not fair you All #Tear #restinpeace","Kanye West","@KanyeWest"
"14","RT @yourbiebernews: Fashion: @Nike x @kanyewest Air Yeezy 1 in Zen Grey/Light Charcoal that's not available. https://t.co/hu9LnjTVGO","Kanye West","@KanyeWest"
"15","@kanyewest I want you to run for president.  Now is the perfect time.","Kanye West","@KanyeWest"
"16","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"17","Hey @kanyewest we miss you man, where you been??","Kanye West","@KanyeWest"
"18","fuck i forgot @kanyewest","Kanye West","@KanyeWest"
"19","I want to write for @kanyewest","Kanye West","@KanyeWest"
"20","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"21","RT @PrimeCreator2: @EKOnFAM @PrincessPatrio1 @realDonaldTrump @kanyewest @_00111111_ @FabulousMndance @QTPi3_14 @WarAngel1111 @annan_the @z…","Kanye West","@KanyeWest"
"22","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"23","Honestly, if we don’t get #yandhi before 2019 ends, we will be entitled to at least 2 🔥 mixtapes from @kanyewest 🙏🏾","Kanye West","@KanyeWest"
"24","RT @yourbiebernews: Fashion: @adidas x @kanyewest Yeezy Boost 350 V2 Static in 
Static/Static/Static that's sold out. https://t.co/KNTBETOy…","Kanye West","@KanyeWest"
"25","@KanyeStanWV @kanyewest Why doesn’t the ballerina have a mustache?! Either way I love the 808’s one!","Kanye West","@KanyeWest"
"26","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"27","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"28","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"29","Nothing can compare to this video of @kanyewest playing Runaway live on the Yeezus tour. https://t.co/u2483O9W2o","Kanye West","@KanyeWest"
